,epsilon,mass,n_expected
290,3.1622776601683145e-05,0.042930326530612246,283.53325843505064
291,3.548133892335681e-05,0.042930326530612246,120.98474463388327
292,3.981071705534888e-05,0.042930326530612246,40.79584123895412
293,4.4668359215095345e-05,0.042930326530612246,12.28414579579002
294,5.011872336272612e-05,0.042930326530612246,3.3383961717940958
295,5.623413251903364e-05,0.042930326530612246,0.4923357910026611
296,6.309573444801788e-05,0.042930326530612246,0.05035536346841064
297,7.079457843841215e-05,0.042930326530612246,0.0029630143469209524
298,7.943282347242627e-05,0.042930326530612246,0.00044757963462870243
299,8.91250938133724e-05,0.042930326530612246,5.0475729857352236e-05
300,9.999999999999755e-05,0.042930326530612246,1.0150579128581728e-07
301,0.00011220184543019355,0.042930326530612246,3.70335151862248e-11
302,0.00012589254117941352,0.042930326530612246,3.366488063742801e-13
303,0.0001412537544622718,0.042930326530612246,1.1053252695974599e-20
304,0.0001584893192461072,0.042930326530612246,1.9338227148522556e-23
305,0.00017782794100388755,0.042930326530612246,1.5898360993324914e-27
306,0.00019952623149688256,0.042930326530612246,2.622216345640132e-43
307,0.00022387211385682782,0.042930326530612246,7.535008654102475e-53
308,0.000251188643150951,0.042930326530612246,1.6804479972111328e-69
309,0.0002818382931264374,0.042930326530612246,6.24650705478215e-73
310,0.0003162277660168289,0.042930326530612246,7.789961167262479e-100
311,0.00035481338923356513,0.042930326530612246,1.2677533837014884e-128
312,0.00039810717055348553,0.042930326530612246,3.553955011487855e-145
313,0.00044668359215094977,0.042930326530612246,2.5176421455073595e-201
314,0.0005011872336272571,0.042930326530612246,3.479651232801538e-258
315,0.0005623413251903319,0.042930326530612246,0.0
316,0.0006309573444801737,0.042930326530612246,0.0
317,0.0007079457843841156,0.042930326530612246,0.0
318,0.0007943282347242562,0.042930326530612246,0.0
319,0.0008912509381337168,0.042930326530612246,0.0
320,1e-07,0.05390710204081633,0.0021591236331804154
321,1.122018454301963e-07,0.05390710204081633,0.003410804574563866
322,1.2589254117941662e-07,0.05390710204081633,0.005434964795625045
323,1.4125375446227526e-07,0.05390710204081633,0.008577300817661282
324,1.584893192461111e-07,0.05390710204081633,0.013634537223294774
325,1.7782794100389192e-07,0.05390710204081633,0.021527641915898277
326,1.9952623149688747e-07,0.05390710204081633,0.03415227299687406
327,2.2387211385683332e-07,0.05390710204081633,0.054291080003664054
328,2.5118864315095717e-07,0.05390710204081633,0.08718852141535853
329,2.8183829312644433e-07,0.05390710204081633,0.13650462705004388
330,3.1622776601683665e-07,0.05390710204081633,0.21438945363392642
331,3.548133892335739e-07,0.05390710204081633,0.33963928916460456
332,3.981071705534953e-07,0.05390710204081633,0.5446929964980716
333,4.4668359215096073e-07,0.05390710204081633,0.8623286210895131
334,5.011872336272694e-07,0.05390710204081633,1.3469639319439002
335,5.623413251903456e-07,0.05390710204081633,2.137403623263625
336,6.309573444801892e-07,0.05390710204081633,3.3852587783471133
337,7.07945784384133e-07,0.05390710204081633,5.32593717131164
338,7.943282347242756e-07,0.05390710204081633,8.389129913841227
339,8.912509381337386e-07,0.05390710204081633,13.242366686935345
340,9.99999999999992e-07,0.05390710204081633,20.87032809759245
341,1.1220184543019537e-06,0.05390710204081633,32.69720222738017
342,1.258925411794156e-06,0.05390710204081633,50.942196435443456
343,1.412537544622741e-06,0.05390710204081633,80.02404673230666
