# FONLL heavy quark hadroproduction cross section
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# beauty to B to J_Psi meson
# BR(q->meson) = 0.7
# BR(B->J/psi) = 0.0116
# theta_min, theta_max, p_min[GeV], p_max[GeV], xsec[pb]
3.509e-03,3.406e-03,8.549e+02,1.028e+03,2.065e+03
3.164e-03,3.072e-03,9.480e+02,1.139e+03,1.695e+03
2.853e-03,2.770e-03,1.051e+03,1.264e+03,1.374e+03
2.573e-03,2.497e-03,1.166e+03,1.401e+03,1.098e+03
2.320e-03,2.252e-03,1.293e+03,1.554e+03,8.623e+02
2.092e-03,2.031e-03,1.434e+03,1.724e+03,6.650e+02
1.886e-03,1.831e-03,1.590e+03,1.911e+03,5.011e+02
1.701e-03,1.651e-03,1.764e+03,2.120e+03,3.673e+02
1.534e-03,1.489e-03,1.956e+03,2.351e+03,2.596e+02
1.383e-03,1.343e-03,2.169e+03,2.607e+03,1.742e+02
1.247e-03,1.211e-03,2.405e+03,2.891e+03,1.085e+02
1.125e-03,1.092e-03,2.667e+03,3.206e+03,6.170e+01
1.014e-03,9.843e-04,2.958e+03,3.556e+03,3.163e+01
9.145e-04,8.876e-04,3.281e+03,3.943e+03,1.418e+01
8.245e-04,8.003e-04,3.638e+03,4.373e+03,5.635e+00
7.436e-04,7.217e-04,4.035e+03,4.850e+03,1.883e+00
6.704e-04,6.508e-04,4.475e+03,5.378e+03,4.626e-01
6.046e-04,5.868e-04,4.962e+03,5.964e+03,5.820e-02
1.063e-02,1.012e-02,3.293e+02,3.953e+02,6.597e+03
9.584e-03,9.125e-03,3.652e+02,4.384e+02,5.880e+03
8.642e-03,8.228e-03,4.050e+02,4.862e+02,5.204e+03
7.793e-03,7.419e-03,4.491e+02,5.391e+02,4.572e+03
7.026e-03,6.690e-03,4.981e+02,5.979e+02,3.984e+03
6.336e-03,6.033e-03,5.524e+02,6.631e+02,3.443e+03
5.713e-03,5.439e-03,6.126e+02,7.354e+02,2.949e+03
5.152e-03,4.905e-03,6.794e+02,8.155e+02,2.503e+03
4.645e-03,4.423e-03,7.534e+02,9.044e+02,2.102e+03
4.189e-03,3.988e-03,8.355e+02,1.003e+03,1.747e+03
3.777e-03,3.596e-03,9.266e+02,1.112e+03,1.435e+03
3.406e-03,3.243e-03,1.028e+03,1.233e+03,1.164e+03
3.071e-03,2.924e-03,1.140e+03,1.368e+03,9.314e+02
2.770e-03,2.637e-03,1.264e+03,1.517e+03,7.333e+02
2.497e-03,2.378e-03,1.402e+03,1.682e+03,5.668e+02
2.252e-03,2.144e-03,1.554e+03,1.866e+03,4.279e+02
2.030e-03,1.933e-03,1.724e+03,2.069e+03,3.142e+02
1.831e-03,1.743e-03,1.911e+03,2.294e+03,2.231e+02
1.651e-03,1.572e-03,2.120e+03,2.545e+03,1.517e+02
1.489e-03,1.417e-03,2.351e+03,2.822e+03,9.679e+01
1.342e-03,1.278e-03,2.607e+03,3.130e+03,5.604e+01
