ptmin(GeV),ptmax(GeV),y,xsec(pb)
6,6.5,5.4138,7.5995e+02
6,6.5,5.5172,6.3068e+02
6,6.5,5.6207,5.1716e+02
6,6.5,5.7241,4.1842e+02
6,6.5,5.8276,3.3381e+02
6,6.5,5.9310,2.6211e+02
6,6.5,6.0345,2.0211e+02
6,6.5,6.1379,1.5241e+02
6,6.5,6.2414,1.1189e+02
6,6.5,6.3448,7.9811e+01
6,6.5,6.4483,5.4575e+01
6,6.5,6.5517,3.4672e+01
6,6.5,6.6552,2.0154e+01
6,6.5,6.7586,1.0840e+01
6,6.5,6.8621,5.4501e+00
6,6.5,6.9655,2.4027e+00
6,6.5,7.0690,7.5256e-01
6,6.5,7.1724,9.9551e-02
6,6.5,7.2759,9.8333e-04
6,6.5,7.3793,6.5788e-08
6,6.5,7.4828,5.7035e-15
6,6.5,7.5862,0.0000e+00
6,6.5,7.6897,0.0000e+00
6,6.5,7.7931,0.0000e+00
6,6.5,7.8965,0.0000e+00
6,6.5,8.0000,0.0000e+00
6.5,7,5.0000,1.0767e+03
6.5,7,5.1034,9.2406e+02
6.5,7,5.2069,7.8561e+02
6.5,7,5.3103,6.6121e+02
6.5,7,5.4138,5.5054e+02
6.5,7,5.5172,4.5310e+02
6.5,7,5.6207,3.6816e+02
6.5,7,5.7241,2.9492e+02
6.5,7,5.8276,2.3264e+02
6.5,7,5.9310,1.8043e+02
6.5,7,6.0345,1.3707e+02
6.5,7,6.1379,1.0150e+02
6.5,7,6.2414,7.2885e+01
6.5,7,6.3448,5.0636e+01
6.5,7,6.4483,3.3454e+01
6.5,7,6.5517,2.0130e+01
6.5,7,6.6552,1.0791e+01
6.5,7,6.7586,5.2658e+00
6.5,7,6.8621,2.4084e+00
6.5,7,6.9655,9.5816e-01
6.5,7,7.0690,2.5854e-01
6.5,7,7.1724,2.3394e-02
6.5,7,7.2759,8.7940e-05
6.5,7,7.3793,1.5720e-09
6.5,7,7.4828,4.4895e-20
6.5,7,7.5862,0.0000e+00
6.5,7,7.6897,0.0000e+00
6.5,7,7.7931,0.0000e+00
6.5,7,7.8965,0.0000e+00
6.5,7,8.0000,0.0000e+00
7,7.5,5.0000,8.0729e+02
7,7.5,5.1034,6.8866e+02
7,7.5,5.2069,5.8155e+02
7,7.5,5.3103,4.8598e+02
7,7.5,5.4138,4.0145e+02
7,7.5,5.5172,3.2772e+02
7,7.5,5.6207,2.6382e+02
7,7.5,5.7241,2.0917e+02
7,7.5,5.8276,1.6313e+02
7,7.5,5.9310,1.2480e+02
7,7.5,6.0345,9.3380e+01
7,7.5,6.1379,6.7810e+01
7,7.5,6.2414,4.7518e+01
7,7.5,6.3448,3.2066e+01
7,7.5,6.4483,2.0397e+01
7,7.5,6.5517,1.1522e+01
7,7.5,6.6552,5.5744e+00
7,7.5,6.7586,2.3970e+00
7,7.5,6.8621,9.7927e-01
7,7.5,6.9655,3.4348e-01
7,7.5,7.0690,7.7278e-02
7,7.5,7.1724,4.3353e-03
7,7.5,7.2759,5.9041e-06
7,7.5,7.3793,8.2174e-12
7,7.5,7.4828,0.0000e+00
7,7.5,7.5862,0.0000e+00
7,7.5,7.6897,0.0000e+00
7,7.5,7.7931,0.0000e+00
7,7.5,7.8965,0.0000e+00
7,7.5,8.0000,0.0000e+00
7.5,8,5.0000,6.0957e+02
7.5,8,5.1034,5.1676e+02
7.5,8,5.2069,4.3361e+02
7.5,8,5.3103,3.5972e+02
7.5,8,5.4138,2.9492e+02
7.5,8,5.5172,2.3865e+02
7.5,8,5.6207,1.9033e+02
7.5,8,5.7241,1.4933e+02
7.5,8,5.8276,1.1506e+02
7.5,8,5.9310,8.6884e+01
7.5,8,6.0345,6.3937e+01
7.5,8,6.1379,4.5456e+01
7.5,8,6.2414,3.1002e+01
7.5,8,6.3448,2.0259e+01
7.5,8,6.4483,1.2367e+01
7.5,8,6.5517,6.4773e+00
7.5,8,6.6552,2.7267e+00
7.5,8,6.7586,9.9226e-01
7.5,8,6.8621,3.5484e-01
7.5,8,6.9655,1.0653e-01
7.5,8,7.0690,1.9236e-02
7.5,8,7.1724,5.9463e-04
7.5,8,7.2759,2.6309e-07
7.5,8,7.3793,0.0000e+00
7.5,8,7.4828,0.0000e+00
7.5,8,7.5862,0.0000e+00
7.5,8,7.6897,0.0000e+00
7.5,8,7.7931,0.0000e+00
7.5,8,7.8965,0.0000e+00
7.5,8,8.0000,0.0000e+00
8,8.5,5.0000,4.6349e+02
8,8.5,5.1034,3.9057e+02
8,8.5,5.2069,3.2553e+02
8,8.5,5.3103,2.6812e+02
8,8.5,5.4138,2.1810e+02
8,8.5,5.5172,1.7507e+02
8,8.5,5.6207,1.3828e+02
8,8.5,5.7241,1.0727e+02
8,8.5,5.8276,8.1606e+01
8,8.5,5.9310,6.0730e+01
8,8.5,6.0345,4.3954e+01
8,8.5,6.1379,3.0539e+01
8,8.5,6.2414,2.0227e+01
8,8.5,6.3448,1.2765e+01
8,8.5,6.4483,7.4420e+00
8,8.5,6.5517,3.5582e+00
8,8.5,6.6552,1.2221e+00
8,8.5,6.7586,3.5452e-01
8,8.5,6.8621,1.0848e-01
8,8.5,6.9655,2.6967e-02
8,8.5,7.0690,3.7173e-03
8,8.5,7.1724,5.5273e-05
8,8.5,7.2759,3.4185e-09
8,8.5,7.3793,0.0000e+00
8,8.5,7.4828,0.0000e+00
8,8.5,7.5862,0.0000e+00
8,8.5,7.6897,0.0000e+00
8,8.5,7.7931,0.0000e+00
8,8.5,7.8965,0.0000e+00
8,8.5,8.0000,0.0000e+00
8.5,9,5.0000,3.5493e+02
8.5,9,5.1034,2.9727e+02
8.5,9,5.2069,2.4612e+02
8.5,9,5.3103,2.0129e+02
8.5,9,5.4138,1.6248e+02
8.5,9,5.5172,1.2927e+02
8.5,9,5.6207,1.0109e+02
8.5,9,5.7241,7.7513e+01
8.5,9,5.8276,5.8180e+01
8.5,9,5.9310,4.2679e+01
8.5,9,6.0345,3.0328e+01
8.5,9,6.1379,2.0560e+01
8.5,9,6.2414,1.3187e+01
8.5,9,6.3448,7.9990e+00
8.5,9,6.4483,4.4506e+00
8.5,9,6.5517,1.9041e+00
8.5,9,6.6552,4.7697e-01
8.5,9,6.7586,9.8983e-02
8.5,9,6.8621,2.5115e-02
8.5,9,6.9655,4.9987e-03
8.5,9,7.0690,4.9402e-04
8.5,9,7.1724,3.0012e-06
8.5,9,7.2759,0.0000e+00
8.5,9,7.3793,0.0000e+00
8.5,9,7.4828,0.0000e+00
8.5,9,7.5862,0.0000e+00
8.5,9,7.6897,0.0000e+00
8.5,9,7.7931,0.0000e+00
8.5,9,7.8965,0.0000e+00
8.5,9,8.0000,0.0000e+00
9,9.5,5.0000,2.7364e+02
9,9.5,5.1034,2.2777e+02
9,9.5,5.2069,1.8741e+02
9,9.5,5.3103,1.5209e+02
9,9.5,5.4138,1.2180e+02
9,9.5,5.5172,9.6060e+01
9,9.5,5.6207,7.4339e+01
9,9.5,5.7241,5.6320e+01
9,9.5,5.8276,4.1704e+01
