epsilon,mass,n_expected
0.07564633275546291,0.040202020202020204,0.0
0.08697490026177834,0.040202020202020204,0.0
0.1,0.040202020202020204,0.0
1e-07,0.0704040404040404,0.0014431547427187987
1.1497569953977356e-07,0.0704040404040404,0.0025216875964019867
1.3219411484660288e-07,0.0704040404040404,0.004406105595672981
1.519911082952933e-07,0.0704040404040404,0.007698374010101984
1.747528400007683e-07,0.0704040404040404,0.01344984623473779
2.009233002565046e-07,0.0704040404040404,0.02349641154946479
2.310129700083158e-07,0.0704040404040404,0.04104315173283438
2.656087782946684e-07,0.0704040404040404,0.0716836839642107
3.0538555088334124e-07,0.0704040404040404,0.12517604777967267
3.5111917342151277e-07,0.0704040404040404,0.21853357522979497
4.037017258596558e-07,0.0704040404040404,0.38139739929639677
4.641588833612782e-07,0.0704040404040404,0.6653586654844179
5.336699231206313e-07,0.0704040404040404,1.1600968985792608
6.135907273413176e-07,0.0704040404040404,2.021232866740311
7.054802310718645e-07,0.0704040404040404,3.5182036546577495
8.111308307896872e-07,0.0704040404040404,6.116106649170939
9.326033468832199e-07,0.0704040404040404,10.614599644077515
1.0722672220103232e-06,0.0704040404040404,18.38133727289605
1.232846739442066e-06,0.0704040404040404,31.73912798884091
1.4174741629268049e-06,0.0704040404040404,54.59654870802191
1.6297508346206435e-06,0.0704040404040404,93.4498017368191
1.873817422860383e-06,0.0704040404040404,158.91939847495013
2.1544346900318865e-06,0.0704040404040404,267.9899077539136
2.477076355991714e-06,0.0704040404040404,447.02941646530684
2.848035868435805e-06,0.0704040404040404,735.3592442067428
3.2745491628777315e-06,0.0704040404040404,1188.4640110491175
3.764935806792471e-06,0.0704040404040404,1878.7886234851997
4.328761281083061e-06,0.0704040404040404,2890.766610582427
4.977023564332114e-06,0.0704040404040404,4306.479003896687
5.72236765935022e-06,0.0704040404040404,6181.381913756301
6.579332246575683e-06,0.0704040404040404,8517.139267513627
7.564633275546291e-06,0.0704040404040404,11246.141949230425
8.697490026177835e-06,0.0704040404040404,14237.630336720335
1e-05,0.0704040404040404,17314.475330263707
1.1497569953977357e-05,0.0704040404040404,20259.09599980299
1.3219411484660286e-05,0.0704040404040404,22812.638350728244
1.5199110829529332e-05,0.0704040404040404,24694.05265255139
1.747528400007683e-05,0.0704040404040404,25641.630585040366
2.0092330025650458e-05,0.0704040404040404,25456.102248914984
2.310129700083158e-05,0.0704040404040404,24037.389117871444
2.656087782946684e-05,0.0704040404040404,21421.813768482545
3.053855508833412e-05,0.0704040404040404,17820.580664824003
3.511191734215127e-05,0.0704040404040404,13637.932137720753
4.03701725859655e-05,0.0704040404040404,9425.830926775361
4.641588833612782e-05,0.0704040404040404,5748.143166746245
5.3366992312063123e-05,0.0704040404040404,2998.7617982751103
6.135907273413175e-05,0.0704040404040404,1280.7468435911983
7.054802310718646e-05,0.0704040404040404,420.14121471582723
8.111308307896872e-05,0.0704040404040404,96.79840172680032
9.326033468832199e-05,0.0704040404040404,13.887688634557092
0.00010722672220103231,0.0704040404040404,1.0599153086750752
0.0001232846739442066,0.0704040404040404,0.03507932414117888
0.00014174741629268049,0.0704040404040404,0.000386086496724892
0.0001629750834620645,0.0704040404040404,9.981982290144036e-07
0.0001873817422860385,0.0704040404040404,3.829243615929082e-10
0.00021544346900318845,0.0704040404040404,1.183620793467579e-14
0.0002477076355991711,0.0704040404040404,1.3101261160233009e-20
0.0002848035868435802,0.0704040404040404,1.7734252399604384e-28
0.00032745491628777284,0.0704040404040404,7.086036959782794e-39
0.00037649358067924675,0.0704040404040404,1.2753213010879335e-52
0.00043287612810830614,0.0704040404040404,8.60419078241095e-71
0.0004977023564332114,0.0704040404040404,8.124698456111507e-95
0.0005722367659350221,0.0704040404040404,1.3887517776872323e-126
0.0006579332246575682,0.0704040404040404,1.3682011778941962e-168
0.000756463327554629,0.0704040404040404,3.882409290779735e-224
0.0008697490026177834,0.0704040404040404,1.3735146414687608e-297
0.001,0.0704040404040404,0.0
0.0011497569953977356,0.0704040404040404,0.0
0.0013219411484660286,0.0704040404040404,0.0
0.0015199110829529332,0.0704040404040404,0.0
0.001747528400007683,0.0704040404040404,0.0
0.002009233002565046,0.0704040404040404,0.0
0.002310129700083158,0.0704040404040404,0.0
0.0026560877829466894,0.0704040404040404,0.0
0.003053855508833419,0.0704040404040404,0.0
0.0035111917342151347,0.0704040404040404,0.0
0.004037017258596558,0.0704040404040404,0.0
0.004641588833612782,0.0704040404040404,0.0
0.005336699231206312,0.0704040404040404,0.0
0.006135907273413176,0.0704040404040404,0.0
0.007054802310718645,0.0704040404040404,0.0
0.008111308307896872,0.0704040404040404,0.0
0.0093260334688322,0.0704040404040404,0.0
0.010722672220103232,0.0704040404040404,0.0
0.012328467394420659,0.0704040404040404,0.0
0.014174741629268049,0.0704040404040404,0.0
0.016297508346206434,0.0704040404040404,0.0
0.01873817422860383,0.0704040404040404,0.0
0.021544346900318867,0.0704040404040404,0.0
0.024770763559917138,0.0704040404040404,0.0
0.028480358684358047,0.0704040404040404,0.0
0.032745491628777317,0.0704040404040404,0.0
0.037649358067924715,0.0704040404040404,0.0
0.043287612810830614,0.0704040404040404,0.0
0.049770235643321135,0.0704040404040404,0.0
0.0572236765935022,0.0704040404040404,0.0
0.06579332246575682,0.0704040404040404,0.0
0.07564633275546291,0.0704040404040404,0.0
0.08697490026177834,0.0704040404040404,0.0
0.1,0.0704040404040404,0.0
1e-07,0.1006060606060606,0.002958785283600387
1.1497569953977356e-07,0.1006060606060606,0.005169447353105756
